AC No,Constituency,District,Total Voters 2019,Votes Cast 2019,TMC 2019,BJP 2019,Other1 Party 2019,Other1 Votes 2019,Other2 Party 2019,Other2 Votes 2019,Other3 Party 2019,Other3 Votes 2019,Total Voters 2021,Votes Cast 2021,TMC 2021,BJP 2021,Other1 Party 2021,Other1 Votes 2021,Other2 Party 2021,Other2 Votes 2021,Other3 Party 2021,Other3 Votes 2021,Total Voters 2024,Votes Cast 2024,TMC 2024,BJP 2024,Other1 Party 2024,Other1 Votes 2024,Other2 Party 2024,Other2 Votes 2024,Other3 Party 2024,Other3 Votes 2024,Total Voters 2026,Votes Cast 2026,Male 2026,Female 2026,Third Gender 2026,Vote Drop/Margin 21-26,Vote Drop/Margin 24-26
15,Dhupguri,Jalpaiguri,251681,217976,87963,105729,CPIM,13016,INC,3065,IND,2904,263118,229323,100333,104688,CPI(M),13107,IND,3265.0,BSP,2178.0,269522,223799,100322,106651,CPI(M),9733,IND,3202,BSP,1141,258127,246589,133196,124925,6,,
16,Maynaguri,Jalpaiguri,251373,223510,96072,110819,CPIM,5916,IND,2907,INC,1705,264265,236093,103395,115306,RSP,5760,KPPU,2868.0,CPI(ML)(L),1555.0,272625,235348,108018,112763,CPI(M),5988,IND,3549,BSP,1312,258545,249237,133769,124776,0,,
17,Jalpaiguri,Jalpaiguri,255369,217222,72962,112147,CPIM,16412,INC,8311,IND,2206,262500,225933,95668,94727,INC,24228,IND,4411.0,BSP,1609.0,268781,222289,84474,110008,CPI(M),20119,IND,3104,BSP,1082,250381,233981,126563,123816,2,-8.55,
18,Rajganj,Jalpaiguri,233915,207409,94727,90407,CPIM,9926,IND,3375,INC,3124,244163,215755,104641,88868,CPI(M),12108,KPPU,1860.0,SUCI,1605.0,255653,221799,104594,97114,CPI(M),10781,IND,3978,BSP,1340,230795,222856,119299,111495,1,-0.45,-0.14
19,Dabgram-fulbari,Jalpaiguri,283995,239654,64449,150566,CPIM,13408,INC,4300,IND,2392,310354,258969,101495,129088,CPI(M),17998,IND,3536.0,BSP,1395.0,321201,258739,83778,156023,CPI(M),11486,IND,3114,BSP,1104,264380,250156,133222,131154,4,,
20,Mal,Jalpaiguri,242267,202897,76939,100998,CPIM,9223,INC,4547,IND,4139,255570,213255,99086,93621,CPI(M),10929,SUCI,3008.0,IND,1912.0,264189,209779,101468,88653,CPI(M),9407,IND,4734,BSP,1293,237452,223609,118926,118526,0,-1.89,-1.08
21,Nagrakata,Jalpaiguri,226235,182492,53621,103865,RSP,10641,INC,5391,IND,3484,237305,191169,71247,94722,INC,12442,IND,5057.0,PRPP,2247.0,244174,184131,83279,79732,RSP,7627,IND,4632,BSP,1299,220118,203169,107824,112292,2,,-5.37
22,Kalimpong,Kalimpong,205462,145550,34302,96877,IND,4643,AIJAP,3409,INC,3362,211896,154863,0,54336,IND,94847,NPEP,1805.0,INC,1715.0,220584,146022,54113,77745,INC,6092,IND,4628,KMSP,600,201619,167424,100846,100773,0,,
23,Darjeeling,Darjeeling,238967,164055,33604,119428,IND,3928,INC,2761,CPIM,1033,246663,168575,0,68907,IND,95215,CPI(M),1913.0,,,250788,158619,55907,87252,INC,6691,IND,5377,KMSP,495,207716,170888,103033,104681,2,,
24,Kurseong,Darjeeling,229920,169702,34796,122393,IND,4839,INC,2967,CPIM,1214,236477,175545,0,73475,IND,97108,CPI(M),2545.0,,,241499,164520,55474,93981,IND,6042,INC,5075,KMSP,628,216152,179709,106014,110135,3,,
25,Matigara-naxalbari,Darjeeling,267441,225479,45277,144175,CPIM,14540,INC,10733,IND,6353,287565,240591,68937,139785,INC,23060,IND,2046.0,BSP,1577.0,308118,249228,70185,154140,INC,15190,IND,4247,KMSP,875,268480,248854,133571,134906,3,,
26,Siliguri,Darjeeling,215514,170384,39662,105148,CPIM,13901,INC,6626,IND,2746,228406,178650,53784,89370,CPI(M),28835,BSP,1255.0,IND,957.0,239026,179301,48561,114570,INC,10732,IND,2081,KMSP,456,200779,181966,99920,100844,15,,
27,Phansidewa,Darjeeling,224235,196605,53854,107115,INC,15526,CPIM,7933,IND,7250,240496,207590,77940,105651,INC,12815,CPI(ML)(L),2787.0,BSP,2291.0,253225,211976,81273,106491,INC,13309,IND,4990,KMSP,961,217298,206607,109526,107769,3,,
28,Chopra,Uttar Dinajpur,229778,188350,94298,49521,INC,22769,CPIM,11403,IND,6516,247764,204110,124923,60018,CPI(M),12279,AMB,3166.0,IND,2193.0,263658,210065,133276,41145,INC,25508,IND,3958,APOI,681,219236,210510,120091,99140,5,-0.1,-0.0
29,Islampur,Uttar Dinajpur,204049,160514,60976,56531,CPIM,30479,INC,6439,IND,2393,219728,169974,100131,62691,INC,3461,SUCI,1152.0,IND,563.0,235590,173117,86994,62987,INC,15536,IND,5665,BSP,493,202217,184847,107891,94318,8,-0.4,-0.49
30,Goalpokhar,Uttar Dinajpur,215685,158299,79682,31441,CPIM,30078,INC,10709,IND,2019,224633,161535,105649,32135,INC,19391,IND,1099.0,BSP,865.0,246383,173101,67554,31884,INC,66888,IND,4937,BSP,451,199468,182852,107310,92154,4,-0.29,-14.64
31,Chakulia,Uttar Dinajpur,221345,164474,59129,51304,CPIM,40348,INC,7352,IND,2123,233378,173400,86311,52474,AIFB,28704,BSP,2725.0,IND,1046.0,249081,177238,58653,51774,INC,59825,IND,4776,APOI,590,216095,198462,114782,101311,2,-0.74,
32,Karandighi,Uttar Dinajpur,246578,198507,66045,82009,CPIM,30488,INC,12703,IND,3051,262583,213136,116594,79968,AIFB,9146,IND,3131.0,BSP,1139.0,278597,213636,64563,86135,INC,55046,IND,5396,BSP,646,231599,219116,121620,109975,4,-0.16,
33,Hemtabad,Uttar Dinajpur,252710,210333,79562,85738,CPIM,19248,INC,17941,IND,3493,265318,223301,116425,89210,CPI(M),9453,AMB,1581.0,IND,1543.0,279862,225703,88366,96161,INC,33115,IND,5291,BSP,794,246530,237655,130939,115587,4,-0.53,
34,Kaliaganj,Uttar Dinajpur,269950,227972,62133,118895,CPIM,19240,INC,18561,IND,4443,282575,239726,94948,116768,INC,16770,IND,6773.0,SUCI,1073.0,294963,241350,78357,136301,INC,17807,IND,6194,BSP,774,268281,255994,140401,127867,13,,
35,Raiganj,Uttar Dinajpur,190903,152458,41742,83944,CPIM,11429,INC,9755,IND,2623,198780,161347,59027,79775,INC,17198,IND,2332.0,AMB,208.0,207098,159851,46663,93402,INC,14477,IND,3903,BSP,387,174126,161885,87504,86601,21,,
36,Itahar,Uttar Dinajpur,218595,175094,87506,59729,INC,13831,RSP,8163,IND,1729,229362,193986,114645,70670,CPI,4908,IND,1692.0,AIMIM,831.0,241069,181291,97697,66928,RSP,10999,IND,2184,BSP,892,211422,202733,110488,100929,5,-0.2,-0.7
37,Kushmandi,Dakshin Dinajpur,209605,175447,77648,76908,RSP,9522,INC,4422,IND,1532,219921,184075,89968,77384,RSP,12571,BSP,1436.0,IND,1118.0,229908,183305,85929,81406,RSP,8983,IND,3548,BSP,781,205867,198703,108310,97553,4,-1.16,-3.4
38,Kumarganj,Dakshin Dinajpur,194397,162414,81518,62759,RSP,9517,INC,3666,IND,916,203986,170928,89763,60396,INC,17478,SUCI,1215.0,KPPU,951.0,210830,167028,88900,65861,RSP,6838,IND,2640,BSP,627,180385,172953,93373,87008,4,-0.07,-0.26
39,Balurghat,Dakshin Dinajpur,172399,146703,42277,81293,RSP,14816,INC,3145,IND,912,180390,152092,58693,72129,RSP,16153,BSP,1141.0,AMB,810.0,186430,149943,47467,89824,RSP,7427,IND,2518,BSP,566,166912,155729,84215,82683,14,,
40,Tapan,Dakshin Dinajpur,208358,178780,66483,89737,RSP,12485,INC,3752,IND,1190,220236,186309,82731,84381,RSP,12088,BSP,2146.0,BMUP,1315.0,227916,183912,76447,95548,RSP,5744,IND,2948,BSP,740,194914,185363,99485,95426,3,,
41,Gangarampur,Dakshin Dinajpur,212534,180647,70053,92138,RSP,8802,INC,3521,IND,1166,224040,189482,84132,88724,CPI(M),12273,BSP,1169.0,KPPU,1145.0,230823,183823,77013,93813,RSP,6382,IND,3695,BSP,704,200146,191119,103818,96318,10,,
42,Harirampur,Dakshin Dinajpur,215816,176255,79978,75013,RSP,9612,INC,4361,IND,2218,228189,187642,96131,73459,CPI(M),12444,IND,2936.0,BMUP,571.0,236965,184362,89799,79545,RSP,7708,IND,3363,BSP,820,211295,202843,108885,102402,8,-0.67,-1.8
43,Habibpur,Malda,240351,195407,53794,107630,INC,11399,CPIM,8473,IND,5909,249557,197989,74558,94075,CPI(M),13805,BMUP,5896.0,IND,3192.0,258521,198793,68497,105449,INC,10645,IND,9136,BSP,1046,238230,226056,120886,117339,5,,
44,Gazole,Malda,254060,210902,67180,108351,INC,18550,IND,6067,CPIM,5936,267096,221214,98857,100655,CPI(M),13950,BSP,1943.0,SUCI,1381.0,279524,221961,74200,113071,INC,25215,IND,5179,BSP,938,255085,242968,129859,125223,3,,
45,Chanchal,Malda,238228,187295,55144,48987,INC,64338,CPIM,12144,IND,3040,249402,199679,115966,48628,INC,31346,SUCI,1214.0,BSP,1050.0,258245,190381,66911,50623,INC,67265,IND,2457,BSP,770,244428,233527,126863,117560,5,-0.5,
46,Harischandrapur,Malda,238565,185470,63117,47490,INC,60605,CPIM,7500,IND,3147,252487,203153,122527,45054,INC,29396,IND,1945.0,BSP,1305.0,268499,198645,69766,49433,INC,74109,IND,2515,BSP,712,238850,226286,126029,112818,3,-0.3,
47,Malatipur,Malda,217884,170787,58794,35488,INC,64438,CPIM,4716,IND,3838,231907,185484,126157,34208,INC,19827,AIMIM,1643.0,BSP,1023.0,247229,181279,61799,36156,INC,77720,IND,2760,BSP,651,212691,201482,113524,99158,9,-0.17,
48,Ratua,Malda,263870,204450,76008,55027,INC,57913,CPIM,7222,IND,4304,282451,219148,130674,55024,INC,16173,IND,11442.0,WPOI,2102.0,295029,215202,58021,57908,INC,91880,IND,3618,APOI,768,246547,231606,130127,116413,7,-0.16,
49,Manikchak,Malda,240521,189069,47785,81809,INC,51920,IND,2883,SUCI(C),1151,253353,206991,110234,76356,INC,11555,IND,4220.0,BSP,1740.0,267704,197233,33371,82081,INC,73546,IND,3972,BSP,741,235765,223552,124739,111024,2,-0.49,
50,Maldaha,Malda,232997,197519,50480,104825,INC,27721,IND,5549,CPIM,4324,245962,206489,77942,93398,INC,26563,IND,3059.0,BMUP,1469.0,257238,207559,49040,112469,INC,37229,IND,5086,BSP,777,231348,218901,117002,114341,5,,
51,English Bazar,Malda,261143,215949,38478,132860,INC,37607,IND,2570,SUCI(C),1068,275296,215675,87656,107755,CPI(M),10953,IND,4333.0,BSP,1039.0,288416,228052,35414,134222,INC,51350,IND,3189,BSP,613,249137,230900,123959,125171,7,,
52,Mothabari,Malda,183788,145709,36764,43054,INC,61393,IND,1683,BSP,612,196324,163143,97397,40824,INC,16903,RSSCMJP,3585.0,IND,1244.0,208844,157147,31547,43101,INC,77235,IND,2916,BSP,512,169347,160981,86660,82681,6,0.04,
53,Sujapur,Malda,229436,178252,62558,18848,INC,91168,IND,2669,BSP,827,251186,207591,152445,14789,INC,22282,RSSCMJP,11173.0,IND,3127.0,268120,199628,45791,18094,INC,129420,IND,3938,BSP,687,236443,226252,120729,115707,7,-0.14,
54,Baisnabnagar,Malda,231386,195977,55146,81475,INC,52291,IND,2677,BSP,1016,246956,208652,83061,80590,INC,37443,IND,3571.0,BSP,2282.0,266048,211287,46966,87953,INC,68031,IND,3664,BSP,848,233865,223809,121683,112174,8,-6.13,
55,Farakka,Murshidabad,212526,174517,44528,46886,INC,76107,IND,2609,BSP,1015,227549,186424,102319,42374,INC,36205,IND,2329.0,RSSCMJP,1559.0,236863,180114,36931,47232,INC,87765,IND,4786,BSP,659,181659,174411,93170,88485,4,0.2,
56,Samserganj,Murshidabad,216790,175925,65115,29071,INC,73054,IND,3745,BSP,1136,235576,188582,96417,10800,INC,70038,CPI(M),6158.0,IND,846.0,248412,191091,69805,28848,INC,83619,IND,5073,BSP,994,161435,155042,78004,83430,1,1.27,
57,Suti,Murshidabad,244295,199501,94911,50957,INC,29290,CPIM,10209,WPOI,6589,265418,216328,127351,56650,INC,18760,IND,9476.0,SUCI,851.0,278286,209483,83094,54152,INC,63171,IND,2814,AISF,1762,229208,220200,121353,107854,1,-0.05,-0.54
58,Jangipur,Murshidabad,237835,194797,79527,66193,INC,28934,CPIM,9927,WPOI,3261,255064,198263,136444,43964,RSP,9067,IND,2336.0,SUCI,941.0,265229,207036,70542,73808,INC,54090,IND,3356,AISF,935,220859,211406,113009,107846,4,-0.14,
59,Raghunathganj,Murshidabad,231524,180545,93156,28727,INC,30598,CPIM,14964,WPOI,3816,249559,190478,126834,28521,IND,16244,INC,12799.0,SDPI,1361.0,262648,185798,77126,27057,INC,73369,IND,2925,SDPI,887,200452,194238,103911,96541,0,-0.04,-2.25
60,Sagardighi,Murshidabad,224187,179243,75374,41967,INC,40626,CPIM,12291,SDPI,3160,236885,186816,95189,44983,INC,36344,AIMIM,3450.0,BMUP,1656.0,246991,182443,82062,42742,INC,50289,IND,2512,SDPI,921,216977,206888,113465,103508,4,-0.4,-0.77
61,Lalgola,Murshidabad,219664,175728,65128,28172,INC,46588,CPIM,24757,WPOI,3520,234381,190438,107860,29464,INC,47153,IND,1691.0,SDPI,954.0,249102,185993,67607,29039,INC,81745,IND,2536,AISF,1472,186182,179554,94311,91868,3,0.18,
62,Bhagawangola,Murshidabad,248897,209077,93108,15421,INC,68136,CPIM,25911,IND,2305,263765,225990,153795,16707,CPI(M),47787,IND,1769.0,BSP,784.0,277458,222708,110857,18490,CPI(M),87081,AISF,1555,IND,1259,224618,217767,114659,109958,1,0.08,0.21
63,Raninagar,Murshidabad,243499,206267,94455,17435,INC,54993,CPIM,33725,IND,2029,256101,222016,134957,21138,INC,55255,RSSCMJP,2754.0,IND,2208.0,267431,219523,95589,20495,CPI(M),96310,AISF,1617,IND,1553,244391,236937,126493,117894,4,-0.19,
64,Murshidabad,Murshidabad,255966,218252,77567,80966,INC,39297,CPIM,12814,IND,2186,268221,229231,93476,95967,INC,28835,IND,4266.0,RSSCMJP,1442.0,278927,228546,86313,94164,CPI(M),40651,IND,2392,AISF,1056,248269,236600,126372,121896,1,,
65,Nabagram,Murshidabad,239814,198128,76574,51757,INC,48089,CPIM,13388,IND,3167,251378,208516,100455,64922,CPI(M),39129,SUCI,1381.0,,,263227,209746,81122,58322,INC,61484,IND,3450,AISF,671,243025,220497,124325,118697,3,-0.34,-0.55
66,Khargram,Murshidabad,218894,174974,77848,48374,INC,31429,CPIM,9914,IND,2559,228923,185936,93255,60682,INC,27423,CPI(ML)(L),1511.0,JD(U),1380.0,242073,186463,81896,54748,INC,42957,IND,2794,BSP,420,230464,203546,120073,110389,2,-0.54,-0.63
67,Burwan,Murshidabad,209343,165127,61712,29902,INC,65513,IND,2779,RSP,1616,217500,176803,81890,79141,INC,12260,IND,1504.0,,,226178,173122,62918,63476,INC,39064,IND,5304,BSP,582,214003,187895,111612,102386,5,-4.03,
68,Kandi,Murshidabad,225500,175096,59419,12592,INC,95290,IND,2932,RSP,861,238973,186481,95399,57319,INC,27555,IND,2453.0,JSTDVPMTP,360.0,250675,190056,72763,50003,INC,59808,IND,5050,BSP,544,233024,197931,120346,112675,3,-0.3,-0.61
69,Bharatpur,Murshidabad,234106,179017,81200,14395,INC,73511,IND,3593,RSP,2069,243603,189047,96226,53143,INC,30116,AMB,2581.0,AIMIM,2076.0,252311,187192,78514,39385,INC,59956,IND,6142,BSP,760,239184,213280,124672,114508,4,-0.56,-1.41
70,Rejinagar,Murshidabad,245869,194054,99691,23041,INC,64309,IND,2127,RSP,1848,259771,210445,118494,50226,INC,37282,SUCI,1338.0,IUML,1039.0,271524,208743,96834,50425,INC,54706,IND,4334,BSP,757,256267,238098,133771,122490,6,-0.41,-0.7
71,Beldanga,Murshidabad,238109,191442,83992,18790,INC,80904,IND,2154,RSP,1734,252944,204511,112862,59030,INC,26949,IND,2648.0,DSPI,1176.0,264818,206145,77122,50060,INC,72667,IND,3643,BSP,558,243984,227027,126928,117052,4,-0.42,-4.69
72,Baharampur,Murshidabad,250726,203136,41129,25165,INC,130190,RSP,1672,IND,1233,260667,197607,62488,89340,INC,40167,BSP,1088.0,SUCI,1038.0,267792,212480,46994,76474,INC,83401,IND,2834,BSP,469,240830,220889,118741,122079,10,,
73,Hariharpara,Murshidabad,234385,198001,87139,14538,INC,67329,CPIM,22616,SUCI(C),2025,247421,216075,102660,18378,INC,88594,IND,3601.0,SUCI,1725.0,257478,207185,97299,24320,CPI(M),74917,AISF,4881,IND,1470,245484,234707,126586,118890,8,-1.32,-1.23
74,Nowda,Murshidabad,234725,188185,82743,17346,INC,79863,RSP,3542,IND,1554,247688,202349,117684,43531,INC,31588,IND,6993.0,HAMS,893.0,256126,203243,88485,40547,INC,68569,IND,3375,BSP,549,235737,220791,122837,112898,2,-0.25,-0.88
75,Domkal,Murshidabad,252477,207106,84808,10271,INC,71112,CPIM,35719,IND,2041,266283,226183,127671,12348,CPI(M),80442,IND,1810.0,JSTDVPMTP,679.0,276615,222656,108805,12065,CPI(M),95334,IND,1408,AISF,1344,267374,257829,137988,129383,3,-0.67,-2.61
76,Jalangi,Murshidabad,248597,207038,79434,34941,INC,54757,CPIM,32268,IND,1955,261258,222167,123840,43773,CPI(M),44564,IND,4918.0,AIMIM,1338.0,272307,219618,89482,40473,CPI(M),83724,AISF,1442,IND,1431,262787,252354,136138,126647,2,-0.38,-5.69
203,Tamluk,Purbo Medinipur,255631,218604,93680,87132,CPIM,27958,SUCI(C),2780,INC,2130,266881,236031,108243,107450,CPI,14718,SUCI,2756.0,IND,1536.0,278505,238729,97937,118398,CPI(M),15533,SUCI,2447,IND,1309,274508,254277,139883,134618,7,-23.01,
204,Panskura Purba,Purbo Medinipur,227382,180812,79437,72057,CPIM,21054,INC,2676,IND,1297,236306,198400,91213,81553,CPI(M),20717,SUCI,1458.0,IND,980.0,244857,199935,88528,91249,CPI(M),13050,AISF,2674,IND,1393,238519,219509,122702,115811,6,-2.19,
205,Panskura Paschim,Purbo Medinipur,262497,214731,94683,97528,CPI,13074,INC,5194,BSP,1038,274092,234141,111705,102816,CPI,15124,SUCI,1239.0,IND,1103.0,286556,231779,108239,108415,CPI,10390,IND,1092,BSP,980,278744,256194,143192,135551,1,-2.48,
206,Moyna,Purbo Medinipur,245071,208713,100880,88497,CPIM,12389,INC,2488,IND,1241,255164,224434,106849,108109,INC,5108,SUCI,1674.0,BSP,766.0,268091,225312,101953,111901,CPI(M),6836,AISF,1473,IND,953,264971,243455,137302,127667,2,,
207,Nandakumar,Purbo Medinipur,244679,211040,97474,82116,CPIM,24918,INC,2065,IND,1291,253829,227275,108181,102775,CPI(M),12782,SUCI,1349.0,IND,715.0,267319,230342,102811,110754,CPI(M),12144,AISF,1647,IND,1101,264437,247196,136102,128332,3,-3.68,
208,Mahisadal,Purbo Medinipur,235375,204768,96215,79299,CPIM,21835,INC,2428,IND,1422,245266,219355,101986,99600,RSSCMJP,13796,IND,1226.0,SUCI,982.0,256509,220820,96545,105999,CPI(M),11791,AISF,3105,IND,1265,253523,236005,129878,123643,2,-6.98,
209,Haldia,Purbo Medinipur,239256,211838,125296,61475,CPIM,18355,INC,2379,IND,1082,251051,220823,89118,104126,CPI(M),22688,BSP,1922.0,SUCI,1556.0,263461,226527,92271,110772,CPI(M),17846,AISF,1599,IND,1528,251919,237434,129419,122487,13,,
210,Nandigram,Purbo Medinipur,247252,208141,130659,62268,CPIM,9353,INC,1788,IND,1142,257999,228405,108808,110764,CPI(M),6267,IND,1236.0,SUCI,240.0,274621,226549,103910,112110,CPI(M),7574,IND,870,AISF,498,266415,250377,138934,127480,1,,
211,Chandipur,Purbo Medinipur,237527,205254,99573,84110,CPIM,17119,INC,1891,SHS,629,245775,220327,109770,96298,CPI(M),9837,WBSP,1365.0,BSP,1254.0,258965,223258,106733,107575,INC,6136,IND,1141,SUCI,347,255924,239391,132659,123265,0,-1.42,
212,Patashpur,Purbo Medinipur,227964,197122,99048,84693,CPIM,8757,INC,2239,SHS,474,236413,208827,105299,95305,CPI,6631,SUCI,731.0,,,248377,211969,106823,98215,INC,4344,IND,1077,SUCI,326,247037,229695,128328,118708,1,-2.09,-2.06
213,Kanthi Uttar,Purbo Medinipur,248773,215331,105033,91959,CPIM,11891,INC,3125,SHS,716,257427,228416,104194,113524,CPI(M),6504,IND,1731.0,SUCI,773.0,266895,229176,107259,114358,INC,4089,IND,1532,SUCI,371,263602,246916,136573,127029,0,,
214,Bhagabanpur,Purbo Medinipur,245649,213298,117197,79806,CPIM,11750,INC,1999,SHS,532,254184,222650,93931,121480,INC,5274,SUCI,946.0,,,265460,224722,108428,109013,INC,4466,IND,1094,SUCI,447,263775,245522,137073,126700,2,,
215,Khejuri,Purbo Medinipur,228220,199639,96506,90953,CPIM,7215,INC,2208,SHS,625,238630,212621,92442,110407,CPI(M),7812,SUCI,824.0,,,250390,215043,94365,114648,INC,3030,IND,1289,SUCI,328,247976,233965,129500,118476,0,,
216,Kanthi Dakshin,Purbo Medinipur,216913,182655,93792,74777,CPIM,8712,INC,2718,SUCI(C),548,224657,194681,88184,98477,CPI,6014,SUCI,1136.0,,,233334,194492,83901,102675,INC,4768,IND,1213,SUCI,458,227954,209285,115841,112113,0,,
217,Ramnagar,Purbo Medinipur,255101,208451,100084,92318,CPIM,10558,INC,2609,SHS,681,264900,222060,112622,100105,CPI(M),6751,SUCI,944.0,RTORP,405.0,274237,220732,102254,111422,INC,3904,IND,1284,BSP,259,269252,242381,137559,131690,3,-1.62,
218,Egra,Purbo Medinipur,275267,226939,100815,109509,CPI,8977,INC,2331,AMB,1120,284614,240817,125763,107272,INC,5086,SUCI,1303.0,,,298516,239572,109357,118355,CPI,6912,IND,1666,SUCI,971,291598,266783,150273,141325,0,-1.4,
219,Dantan,Paschim Medinipur,224882,190020,85724,92413,CPI,5883,AMB,1127,INC,909,233841,197798,95209,94586,CPI,5652,SUCI,1101.0,,,243166,195726,96274,89940,CPI,4626,IND,1751,SUCI,1096,236168,217015,122382,113786,0,-30.85,-3.36
223,Keshiary,Paschim Medinipur,231170,204919,89158,100032,CPI,7545,BSP,1400,INC,1330,238835,212681,106366,91036,CPI(M),9270,BSP,1904.0,SUCI,1535.0,248705,211852,102841,95059,CPI,7031,IND,2494,SUCI,1427,238769,222509,122435,116334,0,-0.64,-1.37
224,Kharagpur Sadar,Paschim Medinipur,225483,163236,48293,93425,INC,8274,CPI,8156,AMB,837,234672,171385,75836,79607,INC,10791,HUMP,1701.0,SUCI,807.0,239710,167127,65816,87722,CPI,8463,IND,1613,BSP,828,180530,160148,88980,91542,8,,
225,Narayangarh,Paschim Medinipur,234754,207217,88574,97324,CPI,11568,SUCI(C),2336,INC,1924,243832,217750,100894,98478,CPI(M),13229,SUCI,2833.0,IND,560.0,252770,218623,106437,95823,CPI,8981,SUCI,2692,IND,2197,239064,224003,122439,116625,0,-2.59,-0.51
226,Sabang,Paschim Medinipur,255603,218850,94798,88628,CPI,19318,INC,11657,SUCI(C),1383,264783,236201,112098,102234,INC,17443,SUCI,1482.0,AMB,1410.0,276873,237173,128024,95341,CPI,9466,BSP,1120,SUCI,1011,274383,254902,141833,132549,1,-1.9,-0.54
